Mazda Biante,2018,255000000,https://www.mobil123.com/dijual/mazda-biante-2-0-skyactiv-a-t-dki-jakarta-kembangan/6850826
Mazda 2,2018,210000000,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-kalideres/6839703
Mazda 8,2012,159000000,https://www.mobil123.com/dijual/mazda-8-2-3-a-t-dki-jakarta-bintaro/6800045
Mazda CX-9,2020,958900000,https://www.mobil123.com/dijual/mazda-cx-9-skyactiv-g-dki-jakarta-taman-mini/6727239
Mazda CX-5,2014,210000000,https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-duren-sawit/6854367
Mazda 2,2016,170000000,https://www.mobil123.com/dijual/mazda-2-gt-dki-jakarta-mangga-dua/6866580
Mazda 2,NaN,155000000,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-tangerang/6866246
Mazda CX-5,2013,181000000,https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-pademangan/6793456
Mazda 2,2016,170000000,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-mangga-dua/6756821
Mazda 2,2018,185000000,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-bintaro/6805099
Mazda CX-5,2014,220000000,https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-cilandak/6499298
Mazda Biante,2013,162000000,https://www.mobil123.com/dijual/mazda-biante-cc-banten-cipondoh/6811423
Mazda 2,2014,190000000,https://www.mobil123.com/dijual/mazda-2-gt-dki-jakarta-rawamangun/6743518
Mazda Biante,2012,134000000,https://www.mobil123.com/dijual/mazda-biante-cc-dki-jakarta-jatiwaringin/6672763
Mazda CX-5,2013,181000000,https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-ancol/6788379
Mazda CX-5,2016,249000000,https://www.mobil123.com/dijual/mazda-cx-5-touring-dki-jakarta-bintaro/6865699
Mazda CX-5,2013,192000000,https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-pademangan/6494992
Mazda 2,2015,158000000,https://www.mobil123.com/dijual/mazda-2-gt-dki-jakarta-duren-sawit/6827514
Mazda 3,2007,85000000,https://www.mobil123.com/dijual/mazda-3-bk-banten-pondok-jagung/6830585
Mazda Biante,2014,165000000,https://www.mobil123.com/dijual/mazda-biante-2-0-skyactiv-a-t-banten-bintaro/6832376
Mazda CX-7,2011,163000000,https://www.mobil123.com/dijual/mazda-cx-7-er-dki-jakarta-gandaria/6688617
